320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 8; 0.478521; 0.363830
640x480; 8; 0.000584; 0.000742
800x600; 8; 0.000762; 0.000711
1024x768; 8; 0.001012; 0.001243
1280x1024; 8; 0.000920; 0.002153
2560x2048; 8; 0.005432; 0.011122
3750x3000; 8; 0.011361; 0.022194
5120x4096; 8; 0.020418; 0.040108
320x240; 4; 0.483268; 0.358149
640x480; 4; 0.000492; 0.000593
800x600; 4; 0.000752; 0.000646
1024x768; 4; 0.001087; 0.001160
1280x1024; 4; 0.000810; 0.002027
2560x2048; 4; 0.006347; 0.010797
3750x3000; 4; 0.013113; 0.022517
5120x4096; 4; 0.026910; 0.041277
320x240; 4; 0.483268; 0.358149
640x480; 4; 0.000492; 0.000593
800x600; 4; 0.000752; 0.000646
1024x768; 4; 0.001087; 0.001160
1280x1024; 4; 0.000810; 0.002027
2560x2048; 4; 0.006347; 0.010797
3750x3000; 4; 0.013113; 0.022517
5120x4096; 4; 0.026910; 0.041277
320x240; 4; 0.483268; 0.358149
640x480; 4; 0.000492; 0.000593
800x600; 4; 0.000752; 0.000646
1024x768; 4; 0.001087; 0.001160
1280x1024; 4; 0.000810; 0.002027
2560x2048; 4; 0.006347; 0.010797
3750x3000; 4; 0.013113; 0.022517
